Type,Record ID,Record Name,DynamoDB Table,Image Field,Current Project Path,To-be Project Path,S3 Key,Result,Notes
brand,aqara,Aqara,rsa_brands,brand_logo_path,assets/images/brands/aqara.png,/api/media/brands/2026/06/aqara.png,brands/2026/06/aqara.png,UPDATED,
brand,arlo,Arlo,rsa_brands,brand_logo_path,assets/images/brands/arlo.png,/api/media/brands/2026/06/arlo.png,brands/2026/06/arlo.png,UPDATED,
brand,avtech,AVTech,rsa_brands,brand_logo_path,assets/images/brands/avtech.png,/api/media/brands/2026/06/avtech.png,brands/2026/06/avtech.png,UPDATED,
brand,axis,Axis Communications,rsa_brands,brand_logo_path,assets/images/brands/axis.png,/api/media/brands/2026/06/axis.png,brands/2026/06/axis.png,UPDATED,
brand,bosch,Bosch,rsa_brands,brand_logo_path,assets/images/brands/bosch.png,/api/media/brands/2026/06/bosch.png,brands/2026/06/bosch.png,UPDATED,
brand,cisco,Cisco,rsa_brands,brand_logo_path,assets/images/brands/cisco.png,/api/media/brands/2026/06/cisco.png,brands/2026/06/cisco.png,UPDATED,
brand,d-link,D-Link,rsa_brands,brand_logo_path,assets/images/brands/dlink.png,/api/media/brands/2026/06/dlink.png,brands/2026/06/dlink.png,SKIP_MISSING_S3,
brand,dlink,D-Link,rsa_brands,brand_logo_path,assets/images/brands/dlink.png,/api/media/brands/2026/06/dlink.png,brands/2026/06/dlink.png,SKIP_MISSING_S3,
brand,eufy,Eufy,rsa_brands,brand_logo_path,assets/images/brands/eufy.png,/api/media/brands/2026/06/eufy.png,brands/2026/06/eufy.png,UPDATED,
brand,ezviz,EZVIZ,rsa_brands,brand_logo_path,assets/images/brands/ezviz.png,/api/media/brands/2026/06/ezviz.png,brands/2026/06/ezviz.png,UPDATED,
brand,hanwha,Hanwha,rsa_brands,brand_logo_path,assets/images/brands/hanwha.png,/api/media/brands/2026/06/hanwha.png,brands/2026/06/hanwha.png,UPDATED,
brand,igloohome,igloohome,rsa_brands,brand_logo_path,assets/images/brands/igloohome.png,/api/media/brands/2026/06/igloohome.png,brands/2026/06/igloohome.png,UPDATED,
brand,imou,Imou,rsa_brands,brand_logo_path,assets/images/brands/imou.png,/api/media/brands/2026/06/imou.png,brands/2026/06/imou.png,UPDATED,
brand,mercusys,Mercusys,rsa_brands,brand_logo_path,assets/images/brands/mercusys.png,/api/media/brands/2026/06/mercusys.png,brands/2026/06/mercusys.png,UPDATED,
brand,panasonic,Panasonic,rsa_brands,brand_logo_path,assets/images/brands/panasonic.png,/api/media/brands/2026/06/panasonic.png,brands/2026/06/panasonic.png,UPDATED,
brand,seagate,Seagate,rsa_brands,brand_logo_path,assets/images/brands/seagate.png,/api/media/brands/2026/06/seagate.png,brands/2026/06/seagate.png,UPDATED,
brand,tplink,TP-Link,rsa_brands,brand_logo_path,assets/images/brands/tplink.png,/api/media/brands/2026/06/tplink.png,brands/2026/06/tplink.png,SKIP_MISSING_S3,
brand,unifi,UniFi,rsa_brands,brand_logo_path,assets/images/brands/unifi.png,/api/media/brands/2026/06/unifi.png,brands/2026/06/unifi.png,UPDATED,
brand,uniview,Uniview,rsa_brands,brand_logo_path,assets/images/brands/uniview.png,/api/media/brands/2026/06/uniview.png,brands/2026/06/uniview.png,SKIP_MISSING_S3,
brand,wd,Western Digital,rsa_brands,brand_logo_path,assets/images/brands/wd.png,/api/media/brands/2026/06/wd.png,brands/2026/06/wd.png,UPDATED,
brand,western-digital,Western Digital,rsa_brands,brand_logo_path,assets/images/brands/wd.png,/api/media/brands/2026/06/wd.png,brands/2026/06/wd.png,UPDATED,
brand,yale,Yale,rsa_brands,brand_logo_path,assets/images/brands/yale.png,/api/media/brands/2026/06/yale.png,brands/2026/06/yale.png,UPDATED,
product,CCTV-0000011,AVTech 2MP Motorized Varifocal Lens Bullet IP Camera,rsa_products,image_path,assets/images/products/bullet-camera-04.png,/api/media/products/2026/06/bullet-camera-04.png,products/2026/06/bullet-camera-04.png,UPDATED,
product,ACCS-0000001,AXIS F7308 Cable Black 8m,rsa_products,image_path,assets/images/products/cable-01.png,/api/media/products/2026/06/cable-01.png,products/2026/06/cable-01.png,UPDATED,
product,CCTV-0000004,Axis Outdoor 2MP Varifocal Bullet Security Camera,rsa_products,image_path,assets/images/products/bullet-camera-02.png,/api/media/products/2026/06/bullet-camera-02.png,products/2026/06/bullet-camera-02.png,UPDATED,
product,NETW-0000003,Cisco 24-Port Gigabit Stackable Managed Switch,rsa_products,image_path,assets/images/products/switch-03.png,/api/media/products/2026/06/switch-03.png,products/2026/06/switch-03.png,UPDATED,
product,NETW-0000002,Cisco 48-port Gigabit PoE Stackable Switch,rsa_products,image_path,assets/images/products/switch-01.png,/api/media/products/2026/06/switch-01.png,products/2026/06/switch-01.png,UPDATED,
product,NETW-0000001,D-Link 16-Port Gigabit Smart Managed Switch,rsa_products,image_path,assets/images/products/switch-02.png,/api/media/products/2026/06/switch-02.png,products/2026/06/switch-02.png,UPDATED,
product,CCTV-0000002,Dahua 2MP 4x PTZ HDCVI Camera,rsa_products,image_path,assets/images/products/dome-camera-01.png,/api/media/products/2026/06/dome-camera-01.png,products/2026/06/dome-camera-01.png,UPDATED,
product,PACK-0000001,Dahua 2MP HDCVI IR Eyeball CCTV Camera Camera Kits,rsa_products,image_path,assets/images/products/package-01.png,/api/media/products/2026/06/package-01.png,products/2026/06/package-01.png,UPDATED,
product,PACK-0000003,Dahua 6MP IP CCTV Camera System with Built-in Mic,rsa_products,image_path,assets/images/products/package-dahua-02.png,/api/media/products/2026/06/package-dahua-02.png,products/2026/06/package-dahua-02.png,UPDATED,
product,CCTV-0000006,Dahua 8MP 4K Smart Dual Light HDCVI Motorized Vari-Focal Bullet Camera,rsa_products,image_path,assets/images/products/bullet-camera-05.png,/api/media/products/2026/06/bullet-camera-05.png,products/2026/06/bullet-camera-05.png,UPDATED,
product,PACK-0000002,Dahua HD-CVI 1080P CCTV Camera Package,rsa_products,image_path,assets/images/products/package-dahua-01.png,/api/media/products/2026/06/package-dahua-01.png,products/2026/06/package-dahua-01.png,UPDATED,
product,CCTV-0000012,Ezviz Wi-Fi Smart Home Camera,rsa_products,image_path,assets/images/products/outdoor-01.png,/api/media/products/2026/06/outdoor-01.png,products/2026/06/outdoor-01.png,UPDATED,
product,POWR-0000001,Hanwha PWR-12DC-8-5 8 Camera 12VDC 5Amp Power Supply,rsa_products,image_path,assets/images/products/powersupply-01.png,/api/media/products/2026/06/powersupply-01.png,products/2026/06/powersupply-01.png,UPDATED,
product,CCTV-0000005,Hikvision 2 MP Fixed Dome Network Camera,rsa_products,image_path,assets/images/products/dome-camera-02.png,/api/media/products/2026/06/dome-camera-02.png,products/2026/06/dome-camera-02.png,UPDATED,
product,PACK-0000005,Hikvision 2-Way Audio HD IP CCTV Camera Package,rsa_products,image_path,assets/images/products/package-hikvision-02.png,/api/media/products/2026/06/package-hikvision-02.png,products/2026/06/package-hikvision-02.png,UPDATED,
product,CCTV-0000003,Hikvision 2MP eco Platinum HD-TVI Turret Camera,rsa_products,image_path,assets/images/products/turret-camera-01.png,/api/media/products/2026/06/turret-camera-01.png,products/2026/06/turret-camera-01.png,UPDATED,
product,CCTV-0000009,Hikvision 2MP Fixed Turret Camera,rsa_products,image_path,assets/images/products/turret-camera-03.png,/api/media/products/2026/06/turret-camera-03.png,products/2026/06/turret-camera-03.png,UPDATED,
product,RECO-0000001,Hikvision 4-ch 1080p 1U H.265 DVR,rsa_products,image_path,assets/images/products/8ch-dvr-02.png,/api/media/products/2026/06/8ch-dvr-02.png,products/2026/06/8ch-dvr-02.png,UPDATED,
product,RECO-0000003,Hikvision 4-CH 3MP 1U Turbo HD DVR,rsa_products,image_path,assets/images/products/8ch-dvr-01.png,/api/media/products/2026/06/8ch-dvr-01.png,products/2026/06/8ch-dvr-01.png,UPDATED,
product,CCTV-0000007,Hikvision 4K WDR Fixed Turret Network Camera with Build-in Mic,rsa_products,image_path,assets/images/products/turret-camera-02.png,/api/media/products/2026/06/turret-camera-02.png,products/2026/06/turret-camera-02.png,UPDATED,
product,PACK-0000004,Hikvision 4MP HD IP CCTV Camera System,rsa_products,image_path,assets/images/products/package-hikvision-01.png,/api/media/products/2026/06/package-hikvision-01.png,products/2026/06/package-hikvision-01.png,UPDATED,
product,CCTV-0000010,IMOU Pan Tilt Smart IP Camera White,rsa_products,image_path,assets/images/products/ipcam-01.png,/api/media/products/2026/06/ipcam-01.png,products/2026/06/ipcam-01.png,UPDATED,
product,CCTV-0000008,Panasonic Day/Night Fixed Dome Camera with IR LED,rsa_products,image_path,assets/images/products/dome-camera-03.png,/api/media/products/2026/06/dome-camera-03.png,products/2026/06/dome-camera-03.png,UPDATED,
product,STOR-0000002,Seagate 1TB SkyHawk HDD,rsa_products,image_path,assets/images/products/storage-02.png,/api/media/products/2026/06/storage-02.png,products/2026/06/storage-02.png,UPDATED,
product,STOR-0000001,Seagate 2TB SkyHawk HDD,rsa_products,image_path,assets/images/products/storage-01.png,/api/media/products/2026/06/storage-01.png,products/2026/06/storage-01.png,UPDATED,
product,CCTV-0000013,TP-Link Test 123 6MP Bullet Camera,rsa_products,image_path,assets/images/products/product-placeholder.png,/api/media/products/2026/06/product-placeholder.png,products/2026/06/product-placeholder.png,SKIP_MISSING_S3,
product,RECO-0000002,Uniview 32 Channel 4SATA Ultra 265 Network Video Recorder,rsa_products,image_path,assets/images/products/8ch-dvr-04.png,/api/media/products/2026/06/8ch-dvr-04.png,products/2026/06/8ch-dvr-04.png,UPDATED,
product,RECO-0000004,Uniview AI IQ 4K 32 Channel 16 PoE NVR,rsa_products,image_path,assets/images/products/nvr-02.png,/api/media/products/2026/06/nvr-02.png,products/2026/06/nvr-02.png,UPDATED,
